"TipoOperador","Operador","Departamento","Localidad","Direccion","Telefono","Web","EMail",Longitud,Latitud
"Inmobiliaria","DESTINO PUNTA INMOBILIARIA","MALDONADO","MALDONADO","SIMON BOLIVAR ENTRE THAILANDIA Y ALFEREZ APTO 001 - PADRON 10356","095002383","www.destinopunta.com","info@destinopunta.com",-54.0,-34.0
"Inmobiliaria","S/D","ROCHA","CHUY","1º DE AGOSTO 657","098574630","S/D","josegabrielbernasconi@gmail.com",-10000.0,-10000.0
"Inmobiliaria","MONICA PUCURULL","MALDONADO","PUNTA BALLENA","RUTA INTERBALNEARIA KM 118 - PADRON 2055 MANZANA 153","094433282","www.monicapucurull.com.uy","monice@movinet.com.uy",-10000.0,-10000.0
"Inmobiliaria","SPOT REAL ESTATE","MONTEVIDEO","MONTEVIDEO","POTOSI 1657/005A","26057127","www.spot.uy","carlos@spot.uy",-10000.0,-10000.0
"Inmobiliaria","SANITAGO PEREYRA PROPIEDADES","MALDONADO","PUNTA DEL ESTE","AV FRANCISCO SALAZAR Y LENZINA - PARADA 2 - TORRE DEL TRIANGULO - LOCAL 13","42485020","www.santiagopereyra.com.uy","info@santiagopereyra.com.uy",-54.0,-13.0
"Inmobiliaria","BON PORTO","ROCHA","LA PALOMA","MARACOPA - LA AGUADA - PADRÓN 199","S/D","S/D","bonportoadm@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","HOTEL SORO MONTEVIDEO CURIO COLLECTION BY HILTON","MONTEVIDEO","MONTEVIDEO","FEDERICO N. ABADIE 2912","27108000","www.hiltonhotels.com","mvdso_gm@hilton.com",-10000.0,-10000.0
"Alojamientos Turísticos","GRAN HOTEL CONCORDIA","SALTO","SALTO","URUGUAY 749","099615975","S/D","margaletmaglio4@gmail.com",-10000.0,-10000.0
"Inmobiliaria","INMOBILIARIA JA","COLONIA","COLONIA DEL SACRAMENTO","18 DE JULIO 253","45229799","www.inmojulioarocena.com","info@inmojulioarocena.com",-10000.0,-10000.0
"Turismo aventura","SENDERO CUEVA DEL INDIO","RIVERA","RIVERA","RUTA 30 KM 232 - CUCHILLA NEGRA - 3º SECCION CATASTRAL","099076269","S/D","caceresmariadelcarmen22@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","HOTEL PUNTA TROUVILLE","MONTEVIDEO","MONTEVIDEO","S/D","27120903","www.puntatrouville.com.uy","gerencia@puntatrouville.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","XENIA","ARTIGAS","BELLA UNION","AV. ARTIGAS 757","47794848 int. 23","www.xeniafreeshop.com.uy","xeniafreeshop@gmail.com ; facturacionsomacal@gmail.com",-10000.0,-10000.0
"Inmobiliaria","DIONI STUART Y ASOCIADOS","MALDONADO","MALDONADO","BATLLE Y ORDOÑEZ 1371","42245481","S/D","S/D",-10000.0,-10000.0
"Inmobiliaria","GONZALEZ BROKERS","CANELONES","CIUDAD DE LA COSTA","FILADELFIA M1856","097349911","www.gonzalezbrokers.com.uy","info@gonzalezbrokers.com.uy",-10000.0,-10000.0
"Agencia de transportes","LAS VEGAS","ARTIGAS","BELLA UNION","ING. ALFREDO MONES QUINTELA 1105","47795214","S/D","anaprior880@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","HOTEL COSTANERO","MONTEVIDEO","MONTEVIDEO","PLAZA INDEPENDENCIA 822/301","27068607","www.costanero.uy","francisco.lorente@costanero.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","DUTY FREE AMERICAS","RIVERA","RIVERA","21 DE SETIEMBRE 2329","24122370","www.dfauy.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"SALAS DE CONVENCION","PROVIMAR LTDA","PAYSANDU","PAYSANDU","AVDA. GRAL. RIVERA 6684","26053828","S/D","gzarate@consultoresuruguay.com",-10000.0,-10000.0
"Inmobiliaria","PEREZ DEL CASTILLO NEGOCIOS INMOBILIARIOS","MONTEVIDEO","MONTEVIDEO","COSTA RICA 1661 OF 2","26048338","www.inmoperezdelcastillo.com","pdc@inmoperezdelcastillo.com",-10000.0,-10000.0
"SALAS DE CONVENCION","ITALY FREE SHOP","ROCHA","CHUY","AVDA. GRAL. RIVERA 6684","44745423","S/D","gzarate@consultoresuruguay.com",-10000.0,-10000.0
"Rentadora de autos","IMK NEW CAR'S","MALDONADO","PUNTA DEL ESTE","SADER 773","092125611","S/D","aaizpuru@manriqueizquierdo.com",-10000.0,-10000.0
"Inmobiliaria","GINEVRA INTERNATIONAL REALTY","MALDONADO","PUNTA DEL ESTE","AV. ITALIA ENTRE ORINOCO Y RIMAS, EDIFICIO OFFICE PUNTA OF. 206","42494800","www.ginevrasir.com","uruguay@ginevrasir.com",-10000.0,-10000.0
"SALAS DE CONVENCION","DUTY FREE AMERICAS","ARTIGAS","BELLA UNION","21 DE SETIEMBRE 2329","24122370","www.dfauy.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"Agencia de transportes","NO DECLARA","COLONIA","COLONIA DEL SACRAMENTO","RUTA 1 NÚMERO 1866","099228069","S/D","julietasofia_20@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","BARAO FREE SHOP","RIVERA","RIVERA","BUENOS AIRES 618 APTO 402","46239211","www.baraofreeshop.com.br","bfs.contabilidad@adinet.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","MOLINOS FREE SHOP","CERRO LARGO","RIO BRANCO","GRAL LAVALLEJA 67","46755782","S/D","molinosdevientodutyfreeshop@gmail.com",-10000.0,-10000.0
"Inmobiliaria","COSTAS DEL ESTE REAL ESTATE","MALDONADO","LA BARRA","AV. JAUREGUIBERRY ESQ. CALLE HERSCHEL - PADRON 747 MANZANA 61","26236592","www.costasdeleste.com","info@costasdeleste.com",-34.0,-54.0
"SALAS DE CONVENCION","EVENTOS","PAYSANDU","PAYSANDU","19 DE ABRIL 958","47232295","www.grandhotelpaysandu.com.uy","gerencia@ghpaysandu.com",-10000.0,-10000.0
"Inmobiliaria","REMAX 360","MONTEVIDEO","MONTEVIDEO","CONSTITUYENTE 1930","S/D","www.remax.com.uy","agiacosa@remax.com.uy",-10000.0,-10000.0
"Inmobiliaria","ROU NEGOCIOS INMOBILIARIOS","MALDONADO","MALDONADO","VENTURA ALEGRE ESQUINA SARANDÍ - LOCAL 29","S/D","S/D","camposler@gmail.com",-10000.0,-10000.0
"Inmobiliaria","S/D","MALDONADO","PUNTA BALLENA","RUTA INTERBALNEARIA KM 118,5 ""GREEN PARK"" TORRE H 113","098412955","www.landestate.com.ar","landuruguay@landestate.com.ar",-55.0,-34.0
"Inmobiliaria","STUDIO DEL ESTE LTDA","ROCHA","LA CORONILLA","RUTA 14 - CAMINO DEL INDIO PADRON 11066 . POTRERO GRANDE","099656003","S/D","maximiliano.rocha.punta@gmail.com",-10000.0,-10000.0
"Agencia de transportes","DREAM TOUR S.R.L.","MONTEVIDEO","MONTEVIDEO","ITACUMBU 3855","22115138","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","FLAMINGO BUS","MONTEVIDEO","MONTEVIDEO","LOS TANGERINOS 4020","22225267","S/D","flamingobus@vera.com.uy",-10000.0,-10000.0
"Inmobiliaria","ACRUX INMUEBLES","MALDONADO","PUNTA DEL ESTE","AV FRANCIA PARADA 9 - EDIFICIO FRANCIA APTO 205 - PLAYA MANSA","42484302","www.acruxinmuebles.com.uy","marcommarella@icloud.com; info@acruxinmuebles.com.uy",-10000.0,-10000.0
"Rentadora de autos","MARTINEZ RENT A CAR","MONTEVIDEO","MONTEVIDEO","FERRANA 3439","22270174","www.carrental.uy","mathiascarrasquera@gmail.com",-10000.0,-10000.0
"Inmobiliaria","A.G. PROPIEDADES","COLONIA","CARMELO","PRESIDENTE FRANKLIN ROOSEVELT 260","099165623","S/D","anafremar@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","GERARDO DELORENZO","MONTEVIDEO","MONTEVIDEO","AV 8 DE OCTUBRE 3988","099251318","S/D","gerardodelorenzo@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","S/D","MONTEVIDEO","MONTEVIDEO","SORIANO 1222 BIS","099495174","www.panzera.com.uy","info@panzera.com.uy",-10000.0,-10000.0
